,Ticker,CIK,Name,SIC,Year_end
237,PDRDY,899108,PERNOD RICARD S A /FI ,2080,NaN
238,NEM,1164727,NEWMONT Corp /DE/ ,1040,1231
239,NTOIY,1436791,Neste OYJ ,NaN,NaN
240,BSX,885725,BOSTON SCIENTIFIC CORP ,3841,1231
241,EQNR,1140625,EQUINOR ASA ,2911,1231
242,HMC,715153,HONDA MOTOR CO LTD ,3711,0331
243,KMB,55785,KIMBERLY CLARK CORP ,2670,1231
244,TOELY,1443276,Tokyo Electron LTD ,NaN,NaN
245,TWLO,1447669,TWILIO INC ,7372,1231
246,SPOT,1639920,Spotify Technology S.A. ,4832,1231
247,AMX,1129137,AMERICA MOVIL SAB DE CV/ ,4813,1231
248,ETN,1551182,Eaton Corp plc ,3590,1231
249,AON,315293,Aon plc ,6411,1231
250,VLVLY,753762,AKTIEBOLAGET VOLVO \PUBL\ ,3711,1231
251,PHG,313216,KONINKLIJKE PHILIPS NV ,3600,1231
252,BCMXY,1447011,Bank of Communications Co Ltd ,8880,1231
253,LZAGY,1446711,Lonza Group AG ,NaN,NaN
254,CFRUY,948401,COMPAGNIE FINANCIERE RICHEMONT AG                       /FI ,NaN,NaN
255,BIDU,1329099,"Baidu, Inc. ",7370,1231
256,EMR,32604,EMERSON ELECTRIC CO ,3600,0930
257,JMHLY,870016,JARDINE MATHESON HOLDINGS LTD \ /FI ,8880,1231
258,BMO,927971,BANK OF MONTREAL /CAN/ ,6029,1031
259,GLD,1222333,SPDR GOLD TRUST ,6221,0930
260,DD,1666700,"DuPont de Nemours, Inc. ",2821,1231
261,RELX,929869,RELX PLC ,2741,1231
262,CP,16875,CANADIAN PACIFIC RAILWAY LTD/CN ,4011,1231
263,IBN,1103838,ICICI BANK LTD ,6029,0331
264,PUK,1116578,PRUDENTIAL PLC ,6311,NaN
265,SAN,891478,"Banco Santander, S.A. ",6029,1231
266,FANUY,1446596,Fanuc Ltd ,NaN,0331
267,LULU,1397187,lululemon athletica inc. ,2300,0202
268,TAL,1499620,TAL Education Group ,8200,NaN
269,CHPXY,1528541,"Citibank,N.A./ADR ",NaN,1231
270,ABEV,1565025,AMBEV S.A. ,2080,1231
271,MNST,865752,Monster Beverage Corp ,2086,1231
272,ECIFY,1387438,ELECTRICITE DE FRANCE S.A. ,NaN,NaN
273,ILMN,1110803,"ILLUMINA, INC. ",3826,0103
274,NGG,1004315,NATIONAL GRID PLC ,4922,0331
275,SCCO,1001838,SOUTHERN COPPER CORP/ ,1000,1231
276,VOD,839923,VODAFONE GROUP PUBLIC LTD CO ,4812,0331
277,KNYJY,1436793,Kone OYJ ,NaN,NaN
278,GD,40533,GENERAL DYNAMICS CORP ,3730,1231
279,ROP,882835,ROPER TECHNOLOGIES INC ,3823,1231
280,GOLD,756894,BARRICK GOLD CORP ,1040,1231
281,AHCHY,1448987,Anhui Conch Cement Co Ltd\ADR ,NaN,NaN
282,LVS,1300514,LAS VEGAS SANDS CORP ,7011,1231
283,COP,1163165,CONOCOPHILLIPS ,2911,1231
284,NXPI,1413447,NXP Semiconductors N.V. ,3674,1231
285,EPD,1061219,ENTERPRISE PRODUCTS PARTNERS L.P. ,4922,1231
286,RKT,1805284,"Rocket Companies, Inc. ",6162,1231
287,KDP,1418135,Keurig Dr Pepper Inc. ,2080,1231
288,SMFG,1022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC. ",6029,0331
289,EXC,1109357,ATLANTIC CITY ELECTRIC CO ,4911,1231
290,LHX,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/ ",3812,0101
291,VEEV,1393052,VEEVA SYSTEMS INC ,7372,0131
292,DOW,1751788,DOW INC. ,2821,1231
293,MET,1099219,METLIFE INC ,6311,1231
294,AEP,4904,AMERICAN ELECTRIC POWER CO INC ,4911,1231
295,WFAFY,1436381,WESFARMERS LTD ,NaN,NaN
296,PINS,1506293,"PINTEREST, INC. ",7370,1231
297,CTSH,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP ,7371,1231
298,BX,1393818,Blackstone Group Inc ,6282,1231
299,DOCU,1261333,"DOCUSIGN, INC. ",7372,0131
300,ERIC,717826,ERICSSON LM TELEPHONE CO ,3663,1231
301,BAX,10456,BAXTER INTERNATIONAL INC ,3841,1231
302,DLR,1297996,"DIGITAL REALTY TRUST, INC. ",6798,1231
303,PSA,1393311,Public Storage ,6798,1231
304,TRI,1075124,THOMSON REUTERS CORP /CAN/ ,2741,1231
305,TRP,1232384,TC ENERGY CORP ,4922,1231
306,ITOCY,355363,ITOCHU CORP ,NaN,0331
307,STZ,16918,"CONSTELLATION BRANDS, INC. ",2080,0228
308,MAR,1048286,MARRIOTT INTERNATIONAL INC /MD/ ,7011,1231
309,ROST,745732,"ROSS STORES, INC. ",5651,0130
310,BCE,718940,BCE INC ,4813,1231
311,IDXX,874716,IDEXX LABORATORIES INC /DE ,2835,1231
312,CVNA,1690820,CARVANA CO. ,5500,1231
313,KHC,1637459,Kraft Heinz Co ,2030,1226
314,COF,927628,CAPITAL ONE FINANCIAL CORP ,6021,1231
315,VONOY,1652630,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
316,BBD,1160330,BANK BRADESCO ,6022,NaN
317,VWDRY,1330306,VESTAS WIND SYSTEMS A/S ,8880,NaN
318,CTAS,723254,CINTAS CORP ,2320,0531
319,DNZOY,1446598,Denso Corp ,8880,0331
320,LGFRY,1554394,Deutsche Bank Trust Co Americas/ ADR Group ,NaN,1231
321,APH,820313,AMPHENOL CORP /DE/ ,3678,1231
322,GIS,40704,GENERAL MILLS INC ,2040,0531
323,LU,1816007,Lufax Holding Ltd ,6199,1231
324,TTD,1671933,"Trade Desk, Inc. ",7370,1231
325,LNSTY,1439584,London Stock Exchange Group ,NaN,NaN
326,KLAC,319201,KLA CORP ,3827,0630
327,SRE,1032208,SAN DIEGO GAS & ELECTRIC CO ,4931,1231
328,BIIB,875045,BIOGEN INC. ,2836,1231
329,JSHLY,879875,JARDINE STRATEGIC HOLDINGS LTD                          /FI ,NaN,NaN
330,CM,1045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/ ,6029,1031
331,HNNMY,1396282,H&M HENNES & MAURITZ AB ,NaN,NaN
332,GVDNY,1121631,GIVAUDAN SA                                             /FI ,NaN,NaN
333,CNC,1071739,CENTENE CORP ,6324,1231
334,INFO,1598014,IHS Markit Ltd. ,7370,1130
335,TEL,1385157,TE Connectivity Ltd. ,5065,0925
336,MRNA,1682852,"Moderna, Inc. ",2836,1231
337,SYY,96021,SYSCO CORP ,5140,0703
338,CMG,1058090,CHIPOTLE MEXICAN GRILL INC ,5812,1231
339,SXYAY,1575851,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
340,XEL,72903,XCEL ENERGY INC ,4931,1231
341,PLTR,1321655,Palantir Technologies Inc. ,7372,NaN
342,ING,1039765,ING GROEP NV ,6029,1231
343,SCHYY,1491703,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
344,CSGP,1057352,"COSTAR GROUP, INC. ",7389,1231
345,TT,1466258,Trane Technologies plc ,3822,1231
346,MTCH,891103,"Match Group, Inc. ",7200,1231
347,F,37996,FORD MOTOR CO ,3711,1231
348,EA,712515,ELECTRONIC ARTS INC. ,7372,0331
349,ALGN,1097149,ALIGN TECHNOLOGY INC ,3842,1231
350,TWTR,1418091,"TWITTER, INC. ",7370,1231
351,XPEV,1810997,XPENG INC. ,3711,1231
352,PH,76334,PARKER HANNIFIN CORP ,3490,0630
353,CMI,26172,CUMMINS INC ,3510,1231
354,EBAY,1065088,EBAY INC ,7389,1231
355,MFG,1335730,MIZUHO FINANCIAL GROUP INC ,6021,NaN
356,LYG,1160106,Lloyds Banking Group plc ,6029,NaN
357,A,1090872,"AGILENT TECHNOLOGIES, INC. ",3826,1031
358,MTCPY,1159204,MTR CORP LTD ,4100,1231
359,BK,1390777,Bank of New York Mellon Corp ,6022,1231
360,CARR,1783180,Carrier Global Corp ,3585,1231
361,E,1002242,ENI SPA ,1311,1231
362,TRV,86312,"TRAVELERS COMPANIES, INC. ",6331,1231
363,PPG,79879,PPG INDUSTRIES INC ,2851,1231
364,CRBJY,1454471,China Resources Land Ltd / ADR ,NaN,NaN
365,VIVHY,1127055,VIVENDI ,4941,1231
366,GLNCY,1524684,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
367,SNPS,883241,SYNOPSYS INC ,7372,1031
368,RHT,1087423,RED HAT INC ,7370,0228
369,U,1810806,Unity Software Inc. ,7372,1231
370,VRSK,1442145,"Verisk Analytics, Inc. ",7374,1231
371,MSCI,1408198,MSCI Inc. ,7389,1231
372,AIG,5272,AMERICAN INTERNATIONAL GROUP INC ,6331,1231
373,MCHP,827054,MICROCHIP TECHNOLOGY INC ,3674,0331
374,VFC,103379,V F CORP ,2320,0403
375,PAYX,723531,PAYCHEX INC ,8700,0531
376,JCI,833444,Johnson Controls International plc ,7380,0930
377,SBAC,1034054,SBA COMMUNICATIONS CORP ,6798,1231
378,CMAKY,1453056,"China Minsheng Banking Corp., Ltd. ",8880,1231
379,HTHT,1483994,Huazhu Group Ltd ,7011,1231
380,WBA,1618921,"Walgreens Boots Alliance, Inc. ",5912,0831
381,ORLY,898173,O REILLY AUTOMOTIVE INC ,5531,1231
382,ORAN,1038143,ORANGE ,4813,1231
383,CHCJY,1495687,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
384,KMI,1506307,"KINDER MORGAN, INC. ",4922,1231
385,XLNX,743988,XILINX INC ,3674,0403
386,BCS,312069,BARCLAYS PLC ,6029,1231
387,STM,932787,STMicroelectronics N.V. ,3674,1231
388,IQV,1478242,IQVIA HOLDINGS INC. ,8731,1231
389,OVCHY,1448817,Oversea-Chinese Banking Corp / ADR ,NaN,NaN
390,ROKU,1428439,"ROKU, INC ",4841,1231
391,MFC,1086888,MANULIFE FINANCIAL CORP ,6311,1231
392,TDG,1260221,TransDigm Group INC ,3728,0930
393,BLL,9389,BALL Corp ,3411,1231
394,SPLK,1353283,SPLUNK INC ,7372,0131
395,RSG,1060391,"REPUBLIC SERVICES, INC. ",4953,1231
396,YUM,1041061,YUM BRANDS INC ,5812,1231
397,DXCM,1093557,DEXCOM INC ,3841,1231
398,AMADY,1502104,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
399,CLPBY,1294325,COLOPLAST A/S ,NaN,NaN
400,TROW,1113169,PRICE T ROWE GROUP INC ,6200,1231
401,CRWD,1535527,"CrowdStrike Holdings, Inc. ",7372,0131
402,CDNS,813672,CADENCE DESIGN SYSTEMS INC ,7372,0102
403,FCAU,1605484,Fiat Chrysler Automobiles N.V. ,3711,1231
404,SGEN,1060736,Seagen Inc. ,2836,1231
405,PCAR,75362,PACCAR INC ,3711,1231
406,APTV,1521332,Aptiv PLC ,3714,1231
407,HCMLY,948696,LafargeHolcim Ltd/ADR ,NaN,NaN
408,HSY,47111,HERSHEY CO ,2060,1231
409,CRH,849395,CRH PUBLIC LTD CO ,3241,1231
410,PTON,1639825,"PELOTON INTERACTIVE, INC. ",3600,0630
411,ALC,1167379,ALCON INC ,3851,1231
412,BBY,764478,BEST BUY CO INC ,5731,0201
413,CTRYY,1462886,Country Garden Holdings Co Ltd /ADR ,NaN,1231
414,TRUMY,1446672,Terumo Corp ,8880,0331
415,LI,1791706,Li Auto Inc. ,3711,1231
416,AFL,4977,AFLAC INC ,6321,1231
417,RMD,943819,RESMED INC ,3841,0630
418,FCX,831259,FREEPORT-MCMORAN INC ,1000,1231
419,ZIJMY,1459580,"Zijin Mining Group Co., Ltd./ADR ",8880,NaN
420,TSCDY,885834,TESCO PLC                                               /FI ,8880,0223
421,ALL,899051,ALLSTATE CORP ,6331,1231
422,ZBH,1136869,"ZIMMER BIOMET HOLDINGS, INC. ",3842,1231
423,GWLLY,1536278,"JPMorgan Chase Bank, N.A. - ADR Depositary ",8880,1231
424,CRARY,1279967,CREDIT AGRICOLE S A ,NaN,NaN
425,ES,72741,EVERSOURCE ENERGY ,4911,1231
426,WEC,783325,"WEC ENERGY GROUP, INC. ",4931,1231
427,PRU,1137774,PRUDENTIAL FINANCIAL INC ,6311,1231
428,CHT,1132924,CHUNGHWA TELECOM CO LTD ,4812,NaN
429,SWK,93556,"STANLEY BLACK & DECKER, INC. ",3420,0102
430,OKTA,1660134,"Okta, Inc. ",7372,0131
431,UNICY,1095054,Unicharm Corp ,NaN,0331
432,MRVL,1058057,MARVELL TECHNOLOGY GROUP LTD ,3674,0130
433,CS,1159510,CREDIT SUISSE AG ,6211,1231
434,DBOEY,1437147,Deutsche Boerse ,NaN,NaN
435,PEG,788784,PUBLIC SERVICE ENTERPRISE GROUP INC ,4931,1231
436,ROK,1024478,"ROCKWELL AUTOMATION, INC ",3829,0930
437,RDSMY,1339422,Royal DSM N.V. ,NaN,NaN
438,MSI,68505,"Motorola Solutions, Inc. ",3663,1231
439,OTIS,1781335,Otis Worldwide Corp ,3600,1231
440,ALPMY,1446390,Astellas Pharma Inc ,NaN,0331
441,HLT,1585689,Hilton Worldwide Holdings Inc. ,7011,1231
442,SVNDY,1359519,SEVEN & I HOLDINGS CO LTD ,NaN,NaN
